province,city,city_code,station,station_code,lon,lat,pm2_5_24h,pubtime
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,104,2021/1/2 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,62,2021/1/3 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,68,2021/1/4 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,11,2021/1/5 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,27,2021/1/6 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,15,2021/1/7 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,31,2021/1/8 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,32,2021/1/9 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,28,2021/1/10 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,40,2021/1/11 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,66,2021/1/12 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,59,2021/1/13 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,97,2021/1/14 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,59,2021/1/15 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,29,2021/1/16 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,53,2021/1/17 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,32,2021/1/18 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,36,2021/1/19 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,82,2021/1/20 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,123,2021/1/21 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,108,2021/1/22 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,59,2021/1/23 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,113,2021/1/24 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,160,2021/1/25 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,181,2021/1/26 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,112,2021/1/27 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,24,2021/1/28 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,42,2021/1/29 0:00
山东省,滨州市,371600,市环保局,1628A,118.0062,37.3803,92,2021/1/30 0:00
